Category,City,Company,Zipcode,Phone,State,Street,Address,SearchTerm,Website
Construction Company, NY 11230,A to Z Renovations Services In NY,,(800) 257-0440,,Brooklyn,"Brooklyn, NY 11230","renovation services, New York, New York",http://atozrenovationsny.com/
General Contractor, New York,Knockout Renovation,10016,(212) 599-5060,NY,47 E 34th St,"47 E 34th St, New York, NY 10016","renovation services, New York, New York",http://www.knockoutrenovation.com/
Construction Company, New York,Amp Interior Renovations,10040,(212) 740-1914,NY,600 W 192nd St,"600 W 192nd St, New York, NY 10040","renovation services, New York, New York",http://ampinterior.com/
Contractor, Brooklyn,Perfect Renovation,11201,(718) 797-1335,NY,103 Atlantic Ave,"103 Atlantic Ave, Brooklyn, NY 11201","renovation services, New York, New York",http://www.perfect-renovation.com/
Kitchen Remodeler, New York,TBro's Renovation Inc.,10001,(917) 909-6006,NY,153 W 27th St,"153 W 27th St, New York, NY 10001","renovation services, New York, New York",http://www.tbrosrenovation.com/
General Contractor, 1460 3rd Ave,NYC Renovation Group,York,(212) 722-8883,New,C/O A1 Interior Carpets,"C/O A1 Interior Carpets, 1460 3rd Ave, New York, NY 10028","renovation services, New York, New York",
Kitchen Remodeler, New York,MyHome - NYC Kitchen & Bath Remodeling,10036,(212) 666-2888,NY,353 W 48th St,"353 W 48th St, New York, NY 10036","renovation services, New York, New York",http://www.myhomeus.com/
General Contractor, NY 10024,GRNY Renovation,,(212) 380-6171,,New York,"New York, NY 10024","renovation services, New York, New York",http://www.grnyrenovation.com/
Kitchen Remodeler, New York,Kitchen & Bathroom Renovation Contractors | New York Artistic,10024,(212) 362-3441,NY,552 Columbus Ave,"552 Columbus Ave, New York, NY 10024","renovation services, New York, New York",http://www.newyorkartistic.com/
Kitchen Remodeler, NY 11215,GRNY Renovation Brooklyn,,(212) 380-6171,,Brooklyn,"Brooklyn, NY 11215","renovation services, New York, New York",http://www.grnyrenovation.com/
Construction Company, Brooklyn,All Renovation Construction LLC,11232,(718) 351-4099,NY,220 36th St b416,"220 36th St b416, Brooklyn, NY 11232","renovation services, New York, New York",http://allrenovations.com/
General Contractor, New York,Universal Renovation NYC,10019,(347) 865-8387,NY,322 W 57th St #18b,"322 W 57th St #18b, New York, NY 10019","renovation services, New York, New York",http://universalrenovation.com/
General Contractor, New York,Bhutta Renovation | Apartment Renovation NYC,10016,(718) 218-4247,NY,30 Park Ave #4l,"30 Park Ave #4l, New York, NY 10016","renovation services, New York, New York",http://www.bhuttarenovation.com/
General Contractor, New York,UCE Renovation,10016,(646) 580-7374,NY,349 5th Ave,"349 5th Ave, New York, NY 10016","renovation services, New York, New York",http://www.ucerenovation.com/
General Contractor, Queens,Polcon Renovation Inc,11385,(718) 938-4353,NY,6052 Madison St,"6052 Madison St, Queens, NY 11385","renovation services, New York, New York",
Construction Company, Brooklyn,"Renovation-Plus Construction Group, LLC.",11234,(646) 245-0088,NY,4809 Avenue N,"4809 Avenue N, Brooklyn, NY 11234","renovation services, New York, New York",http://www.renovation-plus.com/
Interior Designer, New York,Ideal Home Renovations,10075,(646) 761-0551,NY,229 E 79th St,"229 E 79th St, New York, NY 10075","renovation services, New York, New York",http://www.idealhomerenovations.com/
General Contractor, New York,Crafted Kitchen Remodeling & Renovations Contractors,10018,(212) 391-9700,NY,110 W 40th St,"110 W 40th St, New York, NY 10018","renovation services, New York, New York",http://craftedkitchen.com/
Construction Company, NY 10009,Renovation NY,,(917) 531-7991,,New York,"New York, NY 10009","renovation services, New York, New York",http://www.renovationny.com/
General Contractor, Brooklyn,Universal Renovation NYC INC,11234,(347) 865-8387,NY,1350 E 66th St,"1350 E 66th St, Brooklyn, NY 11234","renovation services, New York, New York",http://universalrenovation.com/
Dry Wall Contractor, Queens,General Renovation,11434,(646) 624-4386,NY,114-05 170th St #3d,"114-05 170th St #3d, Queens, NY 11434","renovation services, New York, New York",
General Contractor, Brooklyn,Captain Renovation & Contracting Inc,11217,(718) 972-4646,NY,313 Butler St,"313 Butler St, Brooklyn, NY 11217","renovation services, New York, New York",http://captaincontracting.com/
Contractor, NY 11231,The CHS Group,,(800) 357-7474,,Brooklyn,"Brooklyn, NY 11231","renovation services, New York, New York",http://www.thechsgroup.us/
Construction Company, New York,Batiment Renovation,10012,(212) 203-3088,NY,14 Murray Street #203,"14 Murray Street #203, New York, NY 10012","renovation services, New York, New York",http://batimentny.com/
Construction Company, Queens,Solid Renovation,11418,(917) 300-5522,NY,87-17 102nd St,"87-17 102nd St, Queens, NY 11418","renovation services, New York, New York",http://www.solidrenovation.com/
Construction Company, Queens,"Renovation Group, Inc.",11375,(718) 690-1370,NY,112-26 69th Rd,"112-26 69th Rd, Queens, NY 11375","renovation services, New York, New York",http://www.nrgmagic.com/
General Contractor, New York,Eurostruct,10075,(212) 535-3407,NY,12 E 78th St,"12 E 78th St, New York, NY 10075","renovation services, New York, New York",http://eurostruct.com/
General Contractor, NY 10002,Khan Home Improvement General Contractor,,(718) 633-2220,,New York,"New York, NY 10002","renovation services, New York, New York",http://www.khanhomeimprovement.com/
Construction Company, New York,LMA Group,10010,(212) 366-5555,NY,45 W 21st St,"45 W 21st St, New York, NY 10010","renovation services, New York, New York",http://lmagroupinc.com/
General Contractor, New York,Sweeten,10002,(212) 671-1713,NY,195 Chrystie St #502f,"195 Chrystie St #502f, New York, NY 10002","renovation services, New York, New York",
General Contractor, Brooklyn,Khan Home Improvement General Contractor,11218,(718) 633-2220,NY,543 McDonald Ave,"543 McDonald Ave, Brooklyn, NY 11218","renovation services, New York, New York",http://www.khanhomeimprovement.com/
General Contractor, New York,NYKB,10010,(212) 242-3500,NY,8 W 25th St,"8 W 25th St, New York, NY 10010","renovation services, New York, New York",http://www.nykb.com/
General Contractor, New York,KRS Renovation Corporation,10036,(212) 246-4101,NY,404 W 46th St,"404 W 46th St, New York, NY 10036","renovation services, New York, New York",
General Contractor, Brooklyn,Creative Renovations LLC,11231,(718) 858-8900,NY,271 Columbia St,"271 Columbia St, Brooklyn, NY 11231","renovation services, New York, New York",http://creativeren.com/
Construction Company, Queens,Gotham Builders,11361,(800) 444-4923,NY,203-20 Rocky Hill Rd,"203-20 Rocky Hill Rd, Queens, NY 11361","renovation services, New York, New York",http://www.gothambuildersofnewyork.com/
General Contractor, Queens,GRNY Renovation Queens,11375,(212) 380-6171,NY,Forest Hills,"Forest Hills, Queens, NY 11375","renovation services, New York, New York",http://www.grnyrenovation.com/
General Contractor, New York,E S Renovation & Construction,10016,(212) 243-7281,NY,166 E 34th St # 21K,"166 E 34th St # 21K, New York, NY 10016","renovation services, New York, New York",http://esrenovation.com/
Construction Company, Brooklyn,High Tech Construction - Brownstone Facade Restoration,11218,(347) 792-1266,NY,3623 15th Ave,"3623 15th Ave, Brooklyn, NY 11218","renovation services, New York, New York",http://www.hightechconstructionco.com/
Contractor, NY 10024,Painter and Carpenter Home Renovation LLC,,(347) 924-7182,,New York,"New York, NY 10024","renovation services, New York, New York",http://www.painterandcarpenter.com/
General Contractor, NY 10458,Eden General Construction Inc.,,(212) 369-6666,,Bronx,"Bronx, NY 10458","renovation services, New York, New York",http://www.contractorinny.com/
Kitchen Remodeler, New York,KBR - Design & Build,10001,(212) 475-8000,NY,838 6th Avenue 5th Floor,"838 6th Avenue 5th Floor, New York, NY 10001","renovation services, New York, New York",http://www.kbremodel.com/
